"_id","_time","code","value"
"11265","Tue Sep 02 17:05:05 KST 2014","4873","5072"
"11264","Tue Sep 02 17:05:05 KST 2014","4575","6747"
"11263","Tue Sep 02 17:05:05 KST 2014","2872","1469"
"11262","Tue Sep 02 17:05:05 KST 2014","1147","3382"
"11261","Tue Sep 02 17:05:05 KST 2014","2823","7792"
"11260","Tue Sep 02 17:05:05 KST 2014","4136","4926"
"11259","Tue Sep 02 17:05:05 KST 2014","4311","3994"
"11258","Tue Sep 02 17:05:05 KST 2014","4574","8667"
"11257","Tue Sep 02 17:05:05 KST 2014","4684","9965"
"11256","Tue Sep 02 17:05:05 KST 2014","4887","81"
"11255","Tue Sep 02 17:05:05 KST 2014","4580","6974"
"11254","Tue Sep 02 17:05:05 KST 2014","1130","5827"
"11253","Tue Sep 02 17:05:05 KST 2014","2644","3647"
"11252","Tue Sep 02 17:05:05 KST 2014","1154","8469"
"11251","Tue Sep 02 17:05:05 KST 2014","4884","93"
"11250","Tue Sep 02 17:05:05 KST 2014","4811","9715"
"11249","Tue Sep 02 17:05:05 KST 2014","4272","5059"
"11248","Tue Sep 02 17:05:05 KST 2014","2617","3512"
"11247","Tue Sep 02 17:05:05 KST 2014","1138","3645"
"11246","Tue Sep 02 17:05:05 KST 2014","4819","3198"
"11245","Tue Sep 02 17:05:05 KST 2014","2650","202"
"11244","Tue Sep 02 17:05:05 KST 2014","4477","7911"
"11243","Tue Sep 02 17:05:05 KST 2014","4611","7731"
"11242","Tue Sep 02 17:05:05 KST 2014","4280","2816"
"11241","Tue Sep 02 17:05:05 KST 2014","2611","4969"
"11240","Tue Sep 02 17:05:05 KST 2014","2629","8357"
"11239","Tue Sep 02 17:05:05 KST 2014","1144","9666"
"11238","Tue Sep 02 17:05:05 KST 2014","4173","9684"
"11237","Tue Sep 02 17:05:05 KST 2014","2626","9892"
"11236","Tue Sep 02 17:05:05 KST 2014","2647","3891"
"11235","Tue Sep 02 17:05:05 KST 2014","2638","5397"
"11234","Tue Sep 02 17:05:05 KST 2014","4889","68"
"11233","Tue Sep 02 17:05:05 KST 2014","4378","9867"
"11232","Tue Sep 02 17:05:05 KST 2014","3020","6053"
"11231","Tue Sep 02 17:05:05 KST 2014","2647","9093"
"11230","Tue Sep 02 17:05:05 KST 2014","2814","9754"
"11229","Tue Sep 02 17:05:05 KST 2014","4792","8558"
"11228","Tue Sep 02 17:05:05 KST 2014","4139","4102"
"11227","Tue Sep 02 17:05:05 KST 2014","4886","7214"
"11226","Tue Sep 02 17:05:05 KST 2014","1120","8539"
"11225","Tue Sep 02 17:05:05 KST 2014","4279","2916"
"11224","Tue Sep 02 17:05:05 KST 2014","4615","7713"
"11223","Tue Sep 02 17:05:05 KST 2014","4677","9810"
"11222","Tue Sep 02 17:05:05 KST 2014","4885","755"
"11221","Tue Sep 02 17:05:05 KST 2014","4281","8799"
"11220","Tue Sep 02 17:05:05 KST 2014","2653","5540"
"11219","Tue Sep 02 17:05:05 KST 2014","1156","3400"
"11218","Tue Sep 02 17:05:05 KST 2014","4886","5577"
"11217","Tue Sep 02 17:05:05 KST 2014","4482","6660"
"11216","Tue Sep 02 17:05:05 KST 2014","4180","602"
"11215","Tue Sep 02 17:05:05 KST 2014","2723","902"
"11214","Tue Sep 02 17:05:05 KST 2014","2729","3944"
"11213","Tue Sep 02 17:05:05 KST 2014","4776","1966"
"11212","Tue Sep 02 17:05:05 KST 2014","4514","238"
"11211","Tue Sep 02 17:05:05 KST 2014","1171","9969"
"11210","Tue Sep 02 17:05:05 KST 2014","4822","3167"
"11209","Tue Sep 02 17:05:05 KST 2014","2641","8105"
"11208","Tue Sep 02 17:05:05 KST 2014","3017","4143"
"11207","Tue Sep 02 17:05:05 KST 2014","4691","7982"
"11206","Tue Sep 02 17:05:05 KST 2014","4889","3326"
"11205","Tue Sep 02 17:05:05 KST 2014","1156","9012"
"11204","Tue Sep 02 17:05:05 KST 2014","4372","3147"
"11203","Tue Sep 02 17:05:05 KST 2014","4115","5899"
"11202","Tue Sep 02 17:05:05 KST 2014","4888","2023"
"11201","Tue Sep 02 17:05:05 KST 2014","4275","1416"
"11200","Tue Sep 02 17:05:05 KST 2014","4683","5859"
"11199","Tue Sep 02 17:05:05 KST 2014","1171","6558"
"11198","Tue Sep 02 17:05:05 KST 2014","4378","2613"
"11197","Tue Sep 02 17:05:05 KST 2014","3017","7389"
"11196","Tue Sep 02 17:05:05 KST 2014","4215","4464"
"11195","Tue Sep 02 17:05:05 KST 2014","4477","3190"
"11194","Tue Sep 02 17:05:05 KST 2014","4480","5156"
"11193","Tue Sep 02 17:05:05 KST 2014","4824","6228"
"11192","Tue Sep 02 17:05:05 KST 2014","4121","408"
"11191","Tue Sep 02 17:05:05 KST 2014","5013","2838"
"11190","Tue Sep 02 17:05:05 KST 2014","4684","1012"
"11189","Tue Sep 02 17:05:05 KST 2014","1126","887"
"11188","Tue Sep 02 17:05:05 KST 2014","1117","9897"
"11187","Tue Sep 02 17:05:05 KST 2014","1121","9686"
"11186","Tue Sep 02 17:05:05 KST 2014","2915","5363"
