_id,_time,code,value,category
0,Tue Sep 02 17:08:06 KST 2014,11,969.1441580145051,KT
1,Tue Sep 02 17:08:06 KST 2014,26,1299.839080360061,SKT
2,Tue Sep 02 17:08:06 KST 2014,27,726.1737540870877,KT
3,Tue Sep 02 17:08:06 KST 2014,28,1163.5122315516178,MVNO
4,Tue Sep 02 17:08:06 KST 2014,29,1663.0435901849974,LG
5,Tue Sep 02 17:08:06 KST 2014,30,1119.598883878875,MVNO
6,Tue Sep 02 17:08:06 KST 2014,31,453.9567582001593,SKT
7,Tue Sep 02 17:08:06 KST 2014,41,275.2152636020659,MVNO
8,Tue Sep 02 17:08:06 KST 2014,42,1920.9251053953694,SKT
9,Tue Sep 02 17:08:06 KST 2014,43,916.8086460812513,MVNO
10,Tue Sep 02 17:08:06 KST 2014,44,1237.673502091076,SKT
11,Tue Sep 02 17:08:06 KST 2014,45,622.3983538757318,KT
12,Tue Sep 02 17:08:06 KST 2014,46,1236.643532920476,SKT
13,Tue Sep 02 17:08:06 KST 2014,47,552.4011476235156,MVNO
14,Tue Sep 02 17:08:06 KST 2014,48,1720.7940688406738,SKT
15,Tue Sep 02 17:08:06 KST 2014,50,114.74755898597613,KT
