"_id","_time","code","value"
"11698","Tue Sep 02 17:08:06 KST 2014","NCL","5494"
"11697","Tue Sep 02 17:08:06 KST 2014","FRA","6358"
"11696","Tue Sep 02 17:08:06 KST 2014","DJI","3602"
"11695","Tue Sep 02 17:08:06 KST 2014","USA","2004"
"11694","Tue Sep 02 17:08:06 KST 2014","ZWE","5131"
"11693","Tue Sep 02 17:08:06 KST 2014","BVT","7156"
"11692","Tue Sep 02 17:08:06 KST 2014","UMI","9101"
"11691","Tue Sep 02 17:08:06 KST 2014","HTI","7980"
"11690","Tue Sep 02 17:08:06 KST 2014","DNK","9984"
"11689","Tue Sep 02 17:08:06 KST 2014","GUF","7795"
"11688","Tue Sep 02 17:08:06 KST 2014","COM","2352"
"11687","Tue Sep 02 17:08:06 KST 2014","MAC","4827"
"11686","Tue Sep 02 17:08:06 KST 2014","MYS","8967"
"11685","Tue Sep 02 17:08:06 KST 2014","PAN","1414"
"11684","Tue Sep 02 17:08:06 KST 2014","MAF","472"
"11683","Tue Sep 02 17:08:06 KST 2014","JAM","4611"
"11682","Tue Sep 02 17:08:06 KST 2014","TCA","4208"
"11681","Tue Sep 02 17:08:06 KST 2014","VNM","4518"
"11680","Tue Sep 02 17:08:06 KST 2014","VIR","1920"
"11679","Tue Sep 02 17:08:06 KST 2014","LVA","9477"
"11678","Tue Sep 02 17:08:06 KST 2014","TCD","6731"
"11677","Tue Sep 02 17:08:06 KST 2014","CYP","7969"
"11676","Tue Sep 02 17:08:06 KST 2014","LUX","1631"
"11675","Tue Sep 02 17:08:06 KST 2014","IRL","5731"
"11674","Tue Sep 02 17:08:06 KST 2014","ESP","3678"
"11673","Tue Sep 02 17:08:06 KST 2014","MLI","3030"
"11672","Tue Sep 02 17:08:06 KST 2014","SYC","2086"
"11671","Tue Sep 02 17:08:06 KST 2014","LCA","1642"
"11670","Tue Sep 02 17:08:06 KST 2014","ABW","7969"
"11669","Tue Sep 02 17:08:06 KST 2014","NLD","8886"
"11668","Tue Sep 02 17:08:06 KST 2014","IMN","466"
"11667","Tue Sep 02 17:08:06 KST 2014","SPM","2500"
"11666","Tue Sep 02 17:08:06 KST 2014","JOR","2349"
"11665","Tue Sep 02 17:08:06 KST 2014","CHN","9855"
"11664","Tue Sep 02 17:08:06 KST 2014","POL","7122"
"11663","Tue Sep 02 17:08:06 KST 2014","LBN","6547"
"11662","Tue Sep 02 17:08:06 KST 2014","GRD","1939"
"11661","Tue Sep 02 17:08:06 KST 2014","GTM","3994"
"11660","Tue Sep 02 17:08:06 KST 2014","HMD","2653"
"11659","Tue Sep 02 17:08:06 KST 2014","BFA","9024"
"11658","Tue Sep 02 17:08:06 KST 2014","ARE","9478"
"11657","Tue Sep 02 17:08:06 KST 2014","PRK","6364"
"11656","Tue Sep 02 17:08:06 KST 2014","IRN","6570"
"11655","Tue Sep 02 17:08:06 KST 2014","ALB","3978"
"11654","Tue Sep 02 17:08:06 KST 2014","ALA","6575"
"11653","Tue Sep 02 17:08:06 KST 2014","RUS","113"
"11652","Tue Sep 02 17:08:06 KST 2014","ALB","388"
"11651","Tue Sep 02 17:08:06 KST 2014","ATG","2418"
"11650","Tue Sep 02 17:08:06 KST 2014","NPL","5264"
"11649","Tue Sep 02 17:08:06 KST 2014","CIV","9292"
"11648","Tue Sep 02 17:08:06 KST 2014","ECU","7377"
"11647","Tue Sep 02 17:08:06 KST 2014","ARE","1836"
"11646","Tue Sep 02 17:08:06 KST 2014","AUT","4768"
"11645","Tue Sep 02 17:08:06 KST 2014","ESH","1667"
"11644","Tue Sep 02 17:08:06 KST 2014","HMD","2375"
"11643","Tue Sep 02 17:08:06 KST 2014","TUV","7066"
"11642","Tue Sep 02 17:08:06 KST 2014","PRK","1211"
"11641","Tue Sep 02 17:08:06 KST 2014","LIE","3920"
"11640","Tue Sep 02 17:08:06 KST 2014","SXM","371"
"11639","Tue Sep 02 17:08:06 KST 2014","ARG","9257"
"11638","Tue Sep 02 17:08:06 KST 2014","KHM","3724"
"11637","Tue Sep 02 17:08:06 KST 2014","NCL","3146"
